公司代號,出表日期,公司名稱,產業別,當月營收,上月營收
3004,1110912,豐達科,鋼鐵工業,209199,181311
3005,1110912,神基,電腦及週邊設備業,2937045,2964559
3006,1110912,晶豪科,半導體業,1185956,1254723
3008,1110912,大立光,光電業,4441781,3885328
3010,1110912,華立,電子通路業,6431519,6473883
3011,1110912,今皓,電子零組件業,125991,139198
3013,1110912,晟銘電,電腦及週邊設備業,540034,569867
3014,1110912,聯陽,半導體業,374733,361455
3015,1110912,全漢,電子零組件業,1453851,1316502
3016,1110912,嘉晶,半導體業,521284,520561
3017,1110912,奇鋐,電腦及週邊設備業,4978025,4852129
3019,1110912,亞光,光電業,1659751,1645534
3021,1110912,鴻名,電子零組件業,393648,356402
3022,1110912,威強電,電腦及週邊設備業,941034,859297
3023,1110912,信邦,電子零組件業,2737848,2655190
3024,1110912,憶聲,光電業,159908,165209
3025,1110912,星通,通信網路業,29805,41334
3026,1110912,禾伸堂,電子零組件業,1157585,1193913
3027,1110912,盛達,通信網路業,150433,69403
3028,1110912,增你強,電子通路業,2676060,2988118
3029,1110912,零壹,資訊服務業,1623480,952558
3030,1110912,德律,其他電子業,593191,439496
3031,1110912,佰鴻,光電業,113455,135903
3033,1110912,威健,電子通路業,6175847,5167770
3034,1110912,聯詠,半導體業,6527191,6865719
3035,1110912,智原,半導體業,1086262,1090051
3036,1110912,文曄,電子通路業,45134755,46816263
3037,1110912,欣興,電子零組件業,12131465,11779291
3038,1110912,全台,光電業,428169,426868
3040,1110912,遠見,其他,14195,13205
3041,1110912,揚智,半導體業,157781,213652
3042,1110912,晶技,電子零組件業,1105110,1179482
3043,1110912,科風,其他電子業,148084,86016
3044,1110912,健鼎,電子零組件業,5569157,5758566
3046,1110912,建碁,電腦及週邊設備業,295547,304239
3047,1110912,訊舟,通信網路業,516192,467344
3048,1110912,益登,電子通路業,10912095,9072811
3049,1110912,和鑫,光電業,148036,143027
3050,1110912,鈺德,光電業,99648,101783
3051,1110912,力特,光電業,217777,257108
3054,1110912,立萬利,半導體業,2518,3012
3055,1110912,蔚華科,電子通路業,178580,184243
3056,1110912,總太,建材營造,703890,111586
3057,1110912,喬鼎,電腦及週邊設備業,72271,72976
3058,1110912,立德,電子零組件業,351538,464460
3059,1110912,華晶科,光電業,1380336,1250957
